radio;mnc;lon;lat;created
3G;Claro;-79.169540405273;-0.25337219238281;1352917884
3G;Claro;-79.168952;-0.250822;1352918078
3G;Claro;-79.468586;-1.012944;1353533454
3G;Claro;-79.470179;-1.012494;1353151486
2G;Claro;-79.187393188477;-0.26435852050781;1353319316
2G;Claro;-79.187393188477;-0.26435852050781;1353319341
2G;Claro;-77.717971801758;0.81230163574219;1355670801
3G;Claro;-77.718796;0.811752;1356054408
2G;Claro;-77.72013;0.810928;1355670901
2G;Claro;-77.719345092773;0.81092834472656;1355670975
3G;Claro;-77.716141;0.813217;1355671204
2G;Claro;-77.714882;0.814133;1355671276
3G;Claro;-77.709274;0.815506;1355671377
2G;Claro;-77.708359;0.8134;1355671400
3G;Claro;-79.953857;-3.266272;1357653572
3G;Claro;-79.884868;-2.281293;1357654344
3G;Claro;-79.956977;-3.271658;1357655111
3G;Claro;-79.963303;-3.267471;1357655185
3G;Claro;-79.961655;-3.262802;1357635511
3G;Claro;-79.965363;-3.260536;1357635577
2G;Claro;-79.970052;-3.264956;1357655605
3G;Claro;-78.62702;-1.262699;1357666299
3G;Claro;-78.489806;-0.158495;1357702050
3G;Claro;-78.489754;-0.158478;1357703504
2G;Claro;-78.489487;-0.15834;1357705019
3G;Claro;-78.489438;-0.15805;1357737168
3G;Claro;-78.489761;-0.163147;1357737200
3G;Claro;-78.490154;-0.168621;1357737336
3G;Claro;-78.489761;-0.169013;1357737367
3G;Claro;-78.490448;-0.169464;1357737367
3G;Claro;-78.490482;-0.171181;1357737393
3G;Claro;-78.495255;-0.171249;1357737455
3G;Claro;-78.492709;-0.174358;1357737492
2G;Claro;-78.488861;-0.174194;1357737640
3G;Claro;-78.490997;-0.182133;1357737671
3G;Claro;-78.489936;-0.183429;1357737731
3G;Claro;-78.488288;-0.18716;1357737822
3G;Claro;-78.489782;-0.189878;1357737879
3G;Claro;-78.489627;-0.192679;1357737915
3G;Claro;-78.491711;-0.193667;1357738175
3G;Claro;-78.491525;-0.194044;1357738476
2G;Claro;-78.487571;-0.192712;1357740046
3G;Claro;-78.488411;-0.192787;1357748864
3G;Claro;-78.488235;-0.192947;1357749022
2G;Claro;-78.488173;-0.191924;1357749934
2G;Claro;-78.488022;-0.191711;1357750013
2G;Claro;-78.491135;-0.192398;1357754777
3G;Claro;-78.48823;-0.190832;1357758967
2G;Claro;-78.487973;-0.194225;1357763105
3G;Claro;-78.499117;-0.187798;1357764120
2G;Claro;-78.489761;-0.190887;1357766512
3G;Claro;-78.488556;-0.188504;1357775662
3G;Claro;-78.491134643555;-0.17097473144531;1357757909
3G;Claro;-78.489761;-0.166168;1357777777
2G;Claro;-78.487873;-0.156384;1357778115
2G;Claro;-78.489761352539;-0.15861511230469;1357760931
2G;Claro;-78.493881225586;-0.25337219238281;1357768796
2G;Claro;-78.489401;-0.172192;1357911867
3G;Claro;-78.48561;-0.168665;1357911883
3G;Claro;-78.488388;-0.177155;1357892161
3G;Claro;-78.487244;-0.178299;1357911982
3G;Claro;-78.492377;-0.188043;1357892410
2G;Claro;-78.474843;-0.19955;1357947149
2G;Claro;-78.493096;-0.17686;1357951632
3G;Claro;-78.493401;-0.177155;1357951673
3G;Claro;-78.487015;-0.183913;1357996930
3G;Claro;-78.485489;-0.186691;1357996966
3G;Claro;-78.487015;-0.19249;1358007785
3G;Claro;-78.483335;-0.189794;1358012848
3G;Claro;-78.481522;-0.182419;1358012987
3G;Claro;-78.483238;-0.183506;1358013022
3G;Claro;-78.481521606445;-0.17784118652344;1357993316
3G;Claro;-78.479691;-0.175003;1358013093
3G;Claro;-78.480246;-0.171465;1358013195
3G;Claro;-78.480492;-0.168571;1358013353
3G;Claro;-78.48014831543;-0.16822814941406;1357993709
3G;Claro;-78.479874;-0.165619;1358013546
3G;Claro;-78.478636;-0.16381;1358013561
3G;Claro;-78.478775;-0.161877;1358013622
3G;Claro;-78.482208;-0.16243;1358013745
3G;Claro;-78.48489;-0.157049;1358013913
3G;Claro;-78.486629;-0.15604;1358014111
