Name,longitude,latitude,Kapasiteet
Cygnaeuksenkatu,24.9282685568484,60.17410087166851,16
Apollonkatu,24.9224632983339,60.1760927790452,20
Töölönkatu,24.9283525094474,60.1775346191328,18
Töölöntori,24.9249700522851,60.1791005171717,16
Opera,24.9266869997467,60.182552891987,24
Hakaniemi (M),24.9522579797678,60.17808163474471,28
Ympyrätalo,24.949399999845,60.1808629918822,36
Haapaniemenkatu,24.9551952848707,60.1831601093456,18
Karhupuisto,24.9526762998375,60.18428329212,24
Sörnäinen (M),24.960554135,60.187712639,22
Brahen kenttä,24.9508131529517,60.1867902883311,20
Diakoniapuisto,24.9435409604638,60.1869040535812,16
Market Square,24.9535685411145,60.1652833427097,22
Mastokatu,24.9674668165293,60.1647464973781,22
Annankatu,24.9417379007102,60.1634749245163,16
Melkonkuja,24.8861093999757,60.1498126916296,12
Itälahdenkatu,24.8812501991249,60.1506599919369,12
Heikkilänaukio,24.879315899385,60.1540762917607,20
Heikkiläntie,24.8850653001728,60.1568169919509,12
Gyldenintie,24.8766657996794,60.1583841916575,36
Puistokaari,24.8620200832623,60.1578749328793,16
Luoteisväylä,24.8603118531172,60.1653590878524,12
Lauttasaari Shopping Center,24.8828103623042,60.1604153459526,26
Lauttasaarensilta,24.8899154000946,60.1611858173089,20
Salmisaarenranta,24.9009334858186,60.164784170294,28
Cable Factory,24.90279681,60.161252848,26
Länsisatamankatu,24.9096920006591,60.158927591706,16
Välimerenkatu,24.9162412896547,60.1592963414953,16
Jätkäsaarenlaituri,24.9214896008223,60.1619310923994,24
Tyynenmerenkatu,24.9203435489542,60.1568077714966,20
Hernesaarenranta,24.9311978237832,60.1535144787873,40
Ehrenströmintie,24.9592122677265,60.1552178275344,20
Perämiehenkatu,24.9340656851355,60.160087584362,16
Albertinkatu,24.9368050446952,60.1618574790512,20
Kalevankatu,24.9314215703651,60.1656801793916,16
Sammonpuistikko,24.9224112000483,60.1731472920894,14
Hietaniemenkatu,24.9076704246974,60.1733331469852,24
Eteläinen Hesperiankatu,24.9155261617436,60.1755926611589,18
Kesäkatu,24.91325039954,60.1792966924742,14
Rajasaarentie,24.9110579020192,60.1831258058734,16
Korjaamo,24.919883700552,60.1838636970684,20
Olympic Stadium,24.924961245284,60.1844935075188,20
Nordenskiöldinaukio,24.9172924251712,60.1852461094041,16
Messeniuksenkatu,24.9180102002596,60.18783519212369,20
Swimming Stadium,24.9292125301786,60.1892523422817,18
Ice hall,24.9204971353408,60.1893228039601,22
Stenbäckinkatu,24.9123717007068,60.1883090916703,18
Töölöntulli,24.912893019047,60.1909233737999,16
Meilahti Hospital,24.9083351006824,60.1902194919139,28
Paciuksenkatu,24.8999261202594,60.1912061418589,14
Jalavatie,24.9057885671904,60.1934470268502,16
Kuusitie,24.9018996998812,60.1952451922329,24
Kustaankatu,24.9559903941467,60.1882073042861,20
Kiskontie,24.9012350212612,60.1990120683446,20
Tilkanvierto,24.8992505554038,60.1975748220279,16
Paciuksenkaari,24.8911179001253,60.1944474917836,20
Seurasaari,24.8847643214706,60.1884345423222,22
Saunalahdentie,24.8791652000743,60.1926665197597,8
Torpanranta,24.8713963007609,60.1948357920888,16
Laajalahden aukio,24.8763012644261,60.1978706012264,20
Munkkiniemen aukio,24.8840193884533,60.19672378512809,18
Huopalahdentie,24.8835764865762,60.199732919393,20
Ulvilantie,24.8708784784714,60.2038687140902,12
Muusantori,24.8559544008311,60.207119292,12
Teljäntie,24.8686567195812,60.209690428765,12
Munkkivuori Shopping Center,24.8798066035013,60.2059834138688,24
Vihdintie,24.8895209008125,60.2089249922173,16
Kriikunakuja,24.8916816998729,60.2056784923064,16
Tilkantori,24.8933660254613,60.2027828953059,16
Korppaanmäentie,24.898929699376,60.2034734922503,16
Tenholantie,24.9054367957033,60.202377405156,18
Radiokatu,24.9182184498931,60.2050064264488,12
Hertanmäenkatu,24.9223311437335,60.2026940388763,20
Maistraatintori,24.9248733985577,60.1991509808314,20
Esterinportti,24.9267808000548,60.1975723919044,20
Rautatieläisenkatu,24.9332721002285,60.2014381920031,22
Pasila railway station,24.932799079033,60.1982108580315,40
Ratapihantie,24.9366332542312,60.1964208157658,20
Venttiilikuja,24.9415225602343,60.1941915204257,16
Linnanmäki Amusement Park,24.9401592995968,60.1911410923558,32
